,1.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0
0_gender_F,-1.1260060101176819,-1.0400947993916754,1.4426436371654985,1.2781399865753194,1.3384162843118945,1.277901489270731,-1.3611713622419652,-1.4714590557759208
0_gender_M,1.2733801464801409,1.0306640551666366,-1.3656889976871172,-1.1474604958975703,-1.429549986843262,-1.2835593621959236,1.355941924130985,1.464968017710862
0_gender_O,-0.1473741363623429,0.00943074422506728,-0.07695463947832848,-0.13067949067767295,0.09113370253125043,0.005657872925115014,0.0052294381110472325,0.006491038065085977
0_25_and_less,-0.06762397672559972,0.4470115196573653,-0.18186418961251097,0.27793704816762804,-0.5098123166598418,-0.4640038957507322,0.19396457480582263,0.4568422311477945
0_25_to_40,-0.13090768846355968,0.8913913306322575,-0.44114750738438024,-0.6920239777792507,-0.5593610132496758,-0.5654123069371029,0.242959907900994,0.48155724655687443
0_40_to_60,-1.1315740919016395,-0.4406146293208652,0.019646255075951666,1.6387452802740001,0.886991515624596,0.6092851607637122,-0.4791422787584046,-0.7226104705285985
0_60+,1.3301057570907875,-0.8977882209688118,0.6033654419209563,-1.2246583506628348,0.18218181428509767,0.4201310419242516,0.042217796051422965,-0.21578900717613742
0_group1,-0.7258672087796376,0.9103129863915582,-0.7422111777199486,1.2139100751964547,-1.0596863930409386,-1.2593556935429282,1.0386194394932788,1.1276937560877827
0_group2,-0.9073455871370725,1.0644286690483447,-1.1502939632184377,-0.4059219659914446,-0.7110401485740945,-0.6465895233358944,0.9575957824960826,0.6133875964339212
0_group3,1.6332127959166054,-1.9747416554398776,1.8925051409383165,-0.8079881092046292,1.7707265416149742,1.9059452168787707,-1.9962152219892628,-1.7410813525216642
